AD10120,AD10120 Polisiau A Materion Mewn Addysg*,14,D,Padarn 1.00,Friday,9/1/2015,14:00,2 Hours,Education & Lifelong Learning
AD20120,AD20120 Seicoleg Dysgu A Meddwl,12,B,Penbryn - MedRus Main,Friday,9/1/2015,14:00,2 Hours,Education & Lifelong Learning
BR12510,BR12510 Biological Thought And Discovery,79,C,Sports Cage,Friday,9/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
BR22110,BR22110 Human Impact On The Environment,34,A,Arts Centre - Great Hall,Friday,9/1/2015,14:00,3 Hours,"Biological, Environmental and Rural Sciences"
ED10120,ED10120 Policies And Issues In Education*,89,D,Padarn 1.00,Friday,9/1/2015,14:00,2 Hours,Education & Lifelong Learning
ED20120,ED20120 Psychology Of Learning And Thinking*,72,B,Penbryn - MedRus Main,Friday,9/1/2015,14:00,2 Hours,Education & Lifelong Learning
GW35020,GW35020 Cymru A Datganoli,9,BB,Penbryn - MedRus 1 Wasdell,Friday,9/1/2015,14:00,2 Hours,International Politics
IP35020,IP35020 Wales And Devolution*,22,BB,Penbryn - MedRus 1 Wasdell,Friday,9/1/2015,14:00,2 Hours,International Politics
PH19510,"PH19510 Chaos, Communications And Consciousness",103,A,Arts Centre - Great Hall,Friday,9/1/2015,14:00,2 Hours,Physics
PH28510,PH28510 The Planets,43,B,Penbryn - MedRus Main,Friday,9/1/2015,14:00,2 Hours,Physics
RD12010,RD12010 Introduction To Biology,22,C,Sports Cage,Friday,9/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
RD22810,RD22810 Human Impact On The Environment,34,B,Penbryn - MedRus Main,Friday,9/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
SS12220,SS12220 Musculo-Skeletal Systems,55,C,Sports Cage,Friday,9/1/2015,14:00,1.5 Hours,Sport and Exercise Science
CS10410,CS10410 The Mathematics Driving License For Computer Science,72,D,Padarn 1.00,Saturday,10/1/2015,9:30,2 Hours,Computer Science
CS35910,CS35910 Internet Services Administration,27,D,Padarn 1.00,Saturday,10/1/2015,9:30,2 Hours,Computer Science
EA22310,EA22310 Earth Materials I: Introduction To Geochemistry,27,C,Sports Cage,Saturday,10/1/2015,9:30,2 Hours,Geography & Earth Sciences
EC33120,EC33120 International Trade And Trade Policy,63,C,Sports Cage,Saturday,10/1/2015,9:30,2 Hours,Management & Business
EN38720(a),"EN38720 Writing Women For The Public Stage, 1670-1780",16,,Departmental Room,Saturday,10/1/2015,9:30,4 Hours,English & Creative Writing
HY12720,HY12720 Three Queens And Their Subjects,47,DD,Padarn 1.05,Saturday,10/1/2015,9:30,2 Hours,History & Welsh History
MP35610,MP35610 Quantum Information Theory 1,80,C,Sports Cage,Saturday,10/1/2015,9:30,2 Hours,Physics
PH34610,PH34610 Galaxies,32,C,Sports Cage,Saturday,10/1/2015,9:30,2 Hours,Physics
SS21120,SS21120 Biomechanical Analysis,59,C,Sports Cage,Saturday,10/1/2015,9:30,2 Hours,Sport and Exercise Science
BR10910,BR10910 Equine Anatomy And Physiology*,39,D,Padarn 1.00,Saturday,10/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR13110,BR13110 Animal Life,6,D,Padarn 1.00,Saturday,10/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR22410,BR22410 Advances In Invertebrate Zoology,121,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
BR23310,"BR23310 Reproductive Physiology, Growth And Development",1,A,Arts Centre - Great Hall,Saturday,10/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
BRM2610,BRM2610 Principles Of Nutrition,10,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
CC22120,CC22120 Cylch Bywyd Datblygiad Meddalwedd*,6,A,Arts Centre - Great Hall,Saturday,10/1/2015,14:00,2 Hours,Computer Science
CS10610,CS10610 Databases,1,D,Padarn 1.00,Saturday,10/1/2015,14:00,1.5 Hours,Computer Science
CS22120,CS22120 The Software Development Life Cycle*,182,A,Arts Centre - Great Hall,Saturday,10/1/2015,14:00,2 Hours,Computer Science
CY33420,CY33420 Y Chwedl Arthuraidd Yng Nghymru Cyn 1100,17,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,Welsh
GE27110,GE27110 Short Prose In German,4,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,European Languages
GG32020,GG32020 Earth Observation From Satellites And Aircraft,27,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,Geography & Earth Sciences
IL32520,IL32520 Management Of Organisations,17,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,Information Studies
IP34320,IP34320 The Ethics Of War In Theory And Practice,69,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,International Politics
LL10120,LL10120 Llydaweg I Ddechreuwyr I*,6,A,Arts Centre - Great Hall,Saturday,10/1/2015,14:00,2 Hours,Welsh
LL20120,LL20120 Llydaweg I Ddechreuwyr I*,3,A,Arts Centre - Great Hall,Saturday,10/1/2015,14:00,2 Hours,Welsh
MA10110,MA10110 Coordinate And Vector Geometry*,85,B,Penbryn - MedRus Main,Saturday,10/1/2015,14:00,2 Hours,Mathematics
MT10110,MT10110 Geometreg Gyfesurynnol A Fectoraidd*,9,B,Penbryn - MedRus Main,Saturday,10/1/2015,14:00,2 Hours,Mathematics
PH38510,PH38510 Planetary Neutral Atmospheres,6,A,Arts Centre - Great Hall,Saturday,10/1/2015,14:00,2 Hours,Physics
RD16710,RD16710 Equine Anatomy*,13,D,Padarn 1.00,Saturday,10/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
SP31410,SP31410 Actualidades,42,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,European Languages
TP20320,TP20320 Modern European Drama,14,C,Sports Cage,Saturday,10/1/2015,14:00,2 Hours,"Theatre, Film & Television Studies"
BR20620,BR20620 Applied Molecular Biology And Bioinformatics,98,A,Arts Centre - Great Hall,Monday,12/1/2015,9:30,3 Hours,"Biological, Environmental and Rural Sciences"
BR21310,BR21310 Companion Animal Health,34,DD,Padarn 1.05,Monday,12/1/2015,9:30,2 Hours,"Biological, Environmental and Rural Sciences"
CS15020,CS15020 Web Development Tools,247,C,Sports Cage,Monday,12/1/2015,9:30,2 Hours,Computer Science
CS34110,CS34110 Computer Vision,36,BB,Penbryn - MedRus 1 Wasdell,Monday,12/1/2015,9:30,2 Hours,Computer Science
GC10620,GC10620 Cyflwyniad I Wyddeleg Modern A'I Llenyddiaeth 1*,1,C,Sports Cage,Monday,12/1/2015,9:30,2 Hours,Welsh
GC20620,GC20620 Cyflwyniad I Wyddeleg Modern A'I Llenyddiaeth I*,5,C,Sports Cage,Monday,12/1/2015,9:30,2 Hours,Welsh
GG10210,GG10210 The City And Country: Processes Of Conflict And Change,107,B,Penbryn - MedRus Main,Monday,12/1/2015,9:30,2 Hours,Geography & Earth Sciences
HY12520,HY12520 Age Of Magna Carta-England And Its Neighbours C1180-C1280,37,B,Penbryn - MedRus Main,Monday,12/1/2015,9:30,2 Hours,History & Welsh History
HY37830,HY37830 Politics And Society In 20th- Century Britain,28,A,Arts Centre - Great Hall,Monday,12/1/2015,9:30,3 Hours,History & Welsh History
HY37930,HY37930 Enterprise: The History Of Business Since 1850,15,A,Arts Centre - Great Hall,Monday,12/1/2015,9:30,3 Hours,History & Welsh History
IR10620,IR10620 Introduction To Modern Irish Language 1*,1,C,Sports Cage,Monday,12/1/2015,9:30,2 Hours,Welsh
MA20310,MA20310 Introduction To Abstract Algebra*,82,C,Sports Cage,Monday,12/1/2015,9:30,2 Hours,Mathematics
MAM5120,"MAM5120 Statistical Concepts, Methods And Tools",11,PC,Physical Sciences 112,Monday,12/1/2015,9:30,4 Hours,Mathematics
MM30420,MM30420 International Marketing,79,D,Padarn 1.00,Monday,12/1/2015,9:30,2 Hours,Management & Business
MMM7120,MMM7120 Financial Analysis And Decision Making,37,A,Arts Centre - Great Hall,Monday,12/1/2015,9:30,3 Hours,Management & Business
MX30310,MX30310 Introduction To Abstract Algebra*,2,C,Sports Cage,Monday,12/1/2015,9:30,2 Hours,Mathematics
TC10520,TC10520 Gweithdy Perfformio,9,,Departmental Room,Monday,12/1/2015,9:30,7 Hours,"Theatre, Film & Television Studies"
TPM1420,TPM1420 Research Practices,5,,Departmental Room,Monday,12/1/2015,9:30,7 Hours,"Theatre, Film & Television Studies"
BR13210,BR13210 The Biosphere,155,C,Sports Cage,Monday,12/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR31810,BR31810 Conservation Genetics,57,A,Arts Centre - Great Hall,Monday,12/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
DA10210,DA10210 Cefn Gwlad A'R Ddinas,16,B,Penbryn - MedRus Main,Monday,12/1/2015,14:00,2 Hours,Geography & Earth Sciences
FR12910,FR12910 Images Of France Through Childhood Memory,17,B,Penbryn - MedRus Main,Monday,12/1/2015,14:00,2 Hours,European Languages
HA31820,HA31820 Concro'R Byd: Tŵf A Chwymp Ymerodraethau Prydain A Ffrainc,19,B,Penbryn - MedRus Main,Monday,12/1/2015,14:00,2 Hours,History & Welsh History
IP38720,IP38720 Contemporary Latin America*,73,B,Penbryn - MedRus Main,Monday,12/1/2015,14:00,2 Hours,International Politics
LA36920,LA36920 International Law,73,C,Sports Cage,Monday,12/1/2015,14:00,1.5 Hours,Law & Criminology
MA30510,MA30510 Geometry Of Complex Numbers,36,B,Penbryn - MedRus Main,Monday,12/1/2015,14:00,2 Hours,Mathematics
PH01010,PH01010 Introduction To Physical Forces*,41,DD,Padarn 1.05,Monday,12/1/2015,14:00,2 Hours,Physics
PH10110,PH10110 Physical Forces*,7,DD,Padarn 1.05,Monday,12/1/2015,14:00,2 Hours,Physics
PS11420,PS11420 Introduction To Core Topics In Social And Individual Behaviour,133,A,Arts Centre - Great Hall,Monday,12/1/2015,14:00,2 Hours,Psychology
RD22420,"RD22420 Applied Nutrition Of Livestock, Horses And Companion Animals",14,A,Arts Centre - Great Hall,Monday,12/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
BR00310,BR00310 Cell Biology,42,C,Sports Cage,Tuesday,13/01/2015,9:30,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR21520,BR21520 Equine And Human Exercise Physiology*,14,B,Penbryn - MedRus Main,Tuesday,13/01/2015,9:30,2 Hours,"Biological, Environmental and Rural Sciences"
BR31110,BR31110 Equine Exercise Physiology*,10,B,Penbryn - MedRus Main,Tuesday,13/01/2015,9:30,2 Hours,"Biological, Environmental and Rural Sciences"
CS36510,CS36510 Space Robotics,60,C,Sports Cage,Tuesday,13/01/2015,9:30,2 Hours,Computer Science
DA28720,DA28720 Lleoli Gwleidyddiaeth*,13,D,Padarn 1.00,Tuesday,13/01/2015,9:30,2 Hours,Geography & Earth Sciences
EN30930,EN30930 Reading Theory/ Reading Text,109,A,Arts Centre - Great Hall,Tuesday,13/01/2015,9:30,2 Hours,English & Creative Writing
GG28720,GG28720 Placing Politics*,73,D,Padarn 1.00,Tuesday,13/01/2015,9:30,2 Hours,Geography & Earth Sciences
GG32820,GG32820 Geographical Information Systems,51,C,Sports Cage,Tuesday,13/01/2015,9:30,2 Hours,Geography & Earth Sciences
HY31120,HY31120 Early Modernity In Europe,61,A,Arts Centre - Great Hall,Tuesday,13/01/2015,9:30,2 Hours,History & Welsh History
MM33520,MM33520 Human Resource Management,112,B,Penbryn - MedRus Main,Tuesday,13/01/2015,9:30,2 Hours,Management & Business
PS20220,PS20220 Social Psychology,75,C,Sports Cage,Tuesday,13/01/2015,9:30,1.5 Hours,Psychology
TPM1120,TPM1120 Theoretical Practices*,3,,Departmental Room,Tuesday,13/01/2015,9:30,7 Hours,"Theatre, Film & Television Studies"
TPM1720,"TPM1720 Politics, Media And Performance: Making Connections*",2,,Departmental Room,Tuesday,13/01/2015,9:30,7 Hours,"Theatre, Film & Television Studies"
BR11920,BR11920 Making The British Countryside,20,C,Sports Cage,Tuesday,13/01/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
BR22810,BR22810 Monitoring The Environment,28,BB,Penbryn - MedRus 1 Wasdell,Tuesday,13/01/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
CHM5720,CHM5720 The Internet And How It Really Works*,2,BB,Penbryn - MedRus 1 Wasdell,Tuesday,13/01/2015,14:00,2 Hours,Computer Science
CS25410,CS25410 Computer Architecture And Hardware,70,B,Penbryn - MedRus Main,Tuesday,13/01/2015,14:00,2 Hours,Computer Science
EN10120,"EN10120 Re-Writing, Re-Visioning Texts",91,C,Sports Cage,Tuesday,13/01/2015,14:00,1.5 Hours,English & Creative Writing
FM20620,FM20620 Television Genre,14,D,Padarn 1.00,Tuesday,13/01/2015,14:00,2 Hours,"Theatre, Film & Television Studies"
FR29020,FR29020 The Myth Of Paris,4,B,Penbryn - MedRus Main,Tuesday,13/01/2015,14:00,2 Hours,European Languages
HY31220,"HY31220 Sport, Leisure & Popular Culture In Britain Since 1850",72,A,Arts Centre - Great Hall,Tuesday,13/01/2015,14:00,2 Hours,History & Welsh History
IP30420,IP30420 International Politics And The Nuclear Age,59,B,Penbryn - MedRus Main,Tuesday,13/01/2015,14:00,2 Hours,International Politics
